Year,Location of death (state),count
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2000,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2001,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2002,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2003,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2004,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2005,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2006,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2007,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2008,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2009,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2010,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2011,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2012,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2013,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2014,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2015,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2016,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
