report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1975,GAAPD00,Atlanta,GA,490584,8033,185,443,3518,3887,12,1637.44,37.71,90.3,717.1,792.32
1976,GAAPD00,Atlanta,GA,457300,7529,154,477,3518,3380,12,1646.4,33.68,104.31,769.3,739.12
1977,GAAPD00,Atlanta,GA,440300,7595,138,510,3593,3354,12,1724.96,31.34,115.83,816.03,761.75
1978,GAAPD00,Atlanta,GA,456000,8845,144,592,3990,4119,12,1939.69,31.58,129.82,875,903.29
1979,GAAPD00,Atlanta,GA,423103,10715,231,656,4639,5189,12,2532.48,54.6,155.04,1096.42,1226.42
1980,GAAPD00,Atlanta,GA,422474,11075,201,671,5470,4733,12,2621.46,47.58,158.83,1294.75,1120.31
1981,GAAPD00,Atlanta,GA,435626,10608,181,644,5246,4537,12,2435.12,41.55,147.83,1204.24,1041.49
1982,GAAPD00,Atlanta,GA,441103,10486,152,613,5722,3999,12,2377.22,34.46,138.97,1297.2,906.59
1983,GAAPD00,Atlanta,GA,448635,9326,141,619,5014,3552,12,2078.75,31.43,137.97,1117.61,791.73
1984,GAAPD00,Atlanta,GA,442951,10525,135,632,5729,4029,12,2376.11,30.48,142.68,1293.37,909.58
1985,GAAPD00,Atlanta,GA,436214,11610,145,683,5990,4792,12,2661.54,33.24,156.57,1373.18,1098.54
1986,GAAPD00,Atlanta,GA,445617,13162,186,681,6867,5428,12,2953.66,41.74,152.82,1541.01,1218.09
1987,GAAPD00,Atlanta,GA,429953,12893,207,636,6950,5100,12,2998.7,48.14,147.92,1616.46,1186.18
1988,GAAPD00,Atlanta,GA,444995,15911,217,721,9001,5972,12,3575.55,48.76,162.02,2022.72,1342.04
1989,GAAPD00,Atlanta,GA,426482,16852,246,691,9119,6796,12,3951.4,57.68,162.02,2138.19,1593.5
1990,GAAPD00,Atlanta,GA,394017,16097,231,695,9062,6109,12,4085.36,58.63,176.39,2299.9,1550.44
1991,GAAPD00,Atlanta,GA,403085,16327,205,676,8967,6479,12,4050.51,50.86,167.71,2224.59,1607.35
1992,GAAPD00,Atlanta,GA,410876,15856,198,627,9207,5824,12,3859.07,48.19,152.6,2240.82,1417.46
1993,GAAPD00,Atlanta,GA,402877,16281,203,492,9541,6045,12,4041.18,50.39,122.12,2368.22,1500.46
1994,GAAPD00,Atlanta,GA,411204,14684,191,422,8728,5343,12,3570.98,46.45,102.63,2122.55,1299.36
1995,GAAPD00,Atlanta,GA,404337,14744,184,441,8859,5260,12,3646.46,45.51,109.07,2190.99,1300.9
1996,GAAPD00,Atlanta,GA,413123,13699,196,392,8306,4805,12,3315.96,47.44,94.89,2010.54,1163.09
1997,GAAPD00,Atlanta,GA,420865,12830,150,366,7563,4751,12,3048.48,35.64,86.96,1797.01,1128.87
1998,GAAPD00,Atlanta,GA,414262,12624,149,385,7432,4658,12,3047.35,35.97,92.94,1794.03,1124.41
1999,GAAPD00,Atlanta,GA,411291,11226,143,321,6690,4072,12,2729.45,34.77,78.05,1626.59,990.05
2000,GAAPD00,Atlanta,GA,416474,11583,134,278,6849,4322,12,2781.21,32.17,66.75,1644.52,1037.76
2001,GAAPD00,Atlanta,GA,426511,10807,143,367,5956,4341,12,2533.82,33.53,86.05,1396.45,1017.79
2002,GAAPD00,Atlanta,GA,435494,9969,152,276,5373,4168,12,2289.12,34.9,63.38,1233.77,957.07
2003,GAAPD00,Atlanta,GA,431043,8490,148,281,4360,3701,12,1969.64,34.34,65.19,1011.5,858.62
2004,GAAPD00,Atlanta,GA,430066,7921,111,267,4427,3116,12,1841.81,25.81,62.08,1029.38,724.54
2005,GAAPD00,Atlanta,GA,430666,7213,90,223,4039,2861,12,1674.85,20.9,51.78,937.85,664.32
2006,GAAPD00,Atlanta,GA,485804,7548,110,171,4308,2959,12,1553.71,22.64,35.2,886.78,609.09
2007,GAAPD00,Atlanta,GA,497290,8075,129,148,4221,3577,12,1623.8,25.94,29.76,848.8,719.3
2008,GAAPD00,Atlanta,GA,533016,7403,105,126,3864,3308,12,1388.89,19.7,23.64,724.93,620.62
2009,GAAPD00,Atlanta,GA,552901,6359,80,135,3419,2725,12,1150.12,14.47,24.42,618.37,492.85
2010,GAAPD00,Atlanta,GA,420003,5749,93,89,3405,2162,12,1368.8,22.14,21.19,810.71,514.76
2011,GAAPD00,Atlanta,GA,425533,6097,88,148,3518,2343,12,1432.79,20.68,34.78,826.73,550.6
2012,GAAPD00,Atlanta,GA,437041,6027,83,113,3555,2276,12,1379.05,18.99,25.86,813.42,520.77
2013,GAAPD00,Atlanta,GA,451020,5516,83,105,2965,2363,12,1223.01,18.4,23.28,657.4,523.92
2014,GAAPD00,Atlanta,GA,454363,5577,93,151,3004,2329,12,1227.43,20.47,33.23,661.15,512.59
2015,GAAPD00,Atlanta,GA,464710,5203,94,170,2944,1995,,1119.62,20.23,36.58,633.51,429.3
1975,ILCPD00,Chicago,IL,3150000,37160,818,1657,12514,22171,12,1179.68,25.97,52.6,397.27,703.84
1976,ILCPD00,Chicago,IL,3134499,30640,814,1179,11070,17577,12,977.51,25.97,37.61,353.17,560.76
1977,ILCPD00,Chicago,IL,3086806,28873,823,1227,10311,16512,12,935.37,26.66,39.75,334.03,534.92
1978,ILCPD00,Chicago,IL,3086699,27686,787,1341,10325,15233,12,896.95,25.5,43.44,334.5,493.5
1979,ILCPD00,Chicago,IL,3060801,27807,856,1655,10832,14464,12,908.49,27.97,54.07,353.89,472.56
1980,ILCPD00,Chicago,IL,2986419,28658,863,1329,10205,16261,12,959.61,28.9,44.5,341.71,544.5
1981,ILCPD00,Chicago,IL,3012703,25609,877,1255,7359,16118,12,850.03,29.11,41.66,244.27,535
1982,ILCPD00,Chicago,IL,3010862,26404,668,1112,8317,16307,12,876.96,22.19,36.93,276.23,541.61
1983,ILCPD00,Chicago,IL,3021203,39776,729,2246,13330,23471,12,1316.56,24.13,74.34,441.21,776.88
1984,ILCPD00,Chicago,IL,3012524,60579,741,2883,28420,28535,0,2010.91,24.6,95.7,943.39,947.21
1985,ILCPD00,Chicago,IL,2998841,60011,666,3357,29096,26892,12,2001.14,22.21,111.94,970.24,896.75
1986,ILCPD00,Chicago,IL,3003105,68909,754,3708,33529,30918,12,2294.59,25.11,123.47,1116.48,1029.53
1987,ILCPD00,Chicago,IL,3018338,68368,689,3692,34172,29815,12,2265.09,22.83,122.32,1132.15,987.8
1988,ILCPD00,Chicago,IL,2994100,69318,660,3695,35988,28975,12,2315.15,22.04,123.41,1201.96,967.74
1989,ILCPD00,Chicago,IL,2988260,73590,742,3645,37615,31588,12,2462.64,24.83,121.98,1258.76,1057.07
1990,ILCPD00,Chicago,IL,2783726,82728,851,3607,41114,37156,12,2971.84,30.57,129.57,1476.94,1334.76
1991,ILCPD00,Chicago,IL,2811478,90520,925,3575,42237,43783,12,3219.66,32.9,127.16,1502.31,1557.29
1992,ILCPD00,Chicago,IL,2832901,84242,960,3754,41080,38448,12,2973.7,33.89,132.51,1450.1,1357.2
1993,ILCPD00,Chicago,IL,2788996,79183,862,3379,39753,35189,12,2839.12,30.91,121.15,1425.35,1261.71
1994,ILCPD00,Chicago,IL,2802494,78291,938,3048,40380,33925,12,2793.62,33.47,108.76,1440.86,1210.53
1995,ILCPD00,Chicago,IL,2749811,73011,824,2896,39205,30086,12,2655.13,29.97,105.32,1425.73,1094.11
1996,ILCPD00,Chicago,IL,2754118,67498,789,2752,37097,26860,12,2450.8,28.65,99.92,1346.96,975.27
1997,ILCPD00,Chicago,IL,2765852,65110,757,2545,36519,25289,12,2354.07,27.37,92.02,1320.35,914.33
1998,ILCPD00,Chicago,IL,2750917,62317,703,2387,36110,23117,12,2265.32,25.56,86.77,1312.65,840.34
1999,ILCPD00,Chicago,IL,2821032,51347,641,2469,28027,20210,12,1820.15,22.72,87.52,993.5,716.4
2000,ILCPD00,Chicago,IL,2896016,48522,631,2001,26545,19345,12,1675.47,21.79,69.09,916.6,667.99
2001,ILCPD00,Chicago,IL,2910709,46608,666,1976,25533,18433,12,1601.26,22.88,67.89,877.21,633.28
2002,ILCPD00,Chicago,IL,2938299,45985,648,1963,24842,18532,12,1565.02,22.05,66.81,845.46,630.71
2003,ILCPD00,Chicago,IL,2898374,39483,598,1799,19784,17302,12,1362.25,20.63,62.07,682.59,596.96
2004,ILCPD00,Chicago,IL,2882746,36863,448,1757,18746,15912,12,1278.75,15.54,60.95,650.28,551.97
2005,ILCPD00,Chicago,IL,2873441,36050,448,1695,17943,15964,12,1254.59,15.59,58.99,624.44,555.57
2006,ILCPD00,Chicago,IL,2857796,35363,468,1587,17445,15863,12,1237.42,16.38,55.53,610.44,555.08
2007,ILCPD00,Chicago,IL,2824434,34936,443,1644,17424,15425,12,1236.92,15.68,58.21,616.9,546.13
2008,ILCPD00,Chicago,IL,2829304,35789,510,1594,17032,16653,12,1264.94,18.03,56.34,601.99,588.59
2009,ILCPD00,Chicago,IL,2848431,33501,458,1439,15727,15877,12,1176.12,16.08,50.52,552.13,557.39
2010,ILCPD00,Chicago,IL,2695598,29774,432,1372,13757,14213,12,1104.54,16.03,50.9,510.35,527.27
2011,ILCPD00,Chicago,IL,2703713,28273,431,1459,12408,13975,12,1045.71,15.94,53.96,458.92,516.88
2012,ILCPD00,Chicago,IL,2708382,27620,500,1372,12272,13476,12,1019.8,18.46,50.66,453.11,497.57
2013,ILCPD00,Chicago,IL,2720554,25688,416,1338,12108,11826,12,944.22,15.29,49.18,445.06,434.69
2014,ILCPD00,Chicago,IL,2724121,24133,415,1388,12530,9800,12,885.9,15.23,50.95,459.96,359.75
2015,ILCPD00,Chicago,IL,2728695,24663,478,1432,13104,9649,,903.84,17.52,52.48,480.23,353.61
1975,HI00200,Honolulu,HI,705262,1596,58,169,319,1050,12,226.3,8.22,23.96,45.23,148.88
1976,HI00200,Honolulu,HI,718424,1696,40,164,380,1112,12,236.07,5.57,22.83,52.89,154.78
1977,HI00200,Honolulu,HI,721983,1660,46,176,357,1081,12,229.92,6.37,24.38,49.45,149.73
1978,HI00200,Honolulu,HI,725259,2044,38,187,346,1473,12,281.83,5.24,25.78,47.71,203.1
1979,HI00200,Honolulu,HI,734368,2196,48,223,357,1568,12,299.03,6.54,30.37,48.61,213.52
1980,HI00200,Honolulu,HI,762020,2456,65,264,398,1729,12,322.3,8.53,34.64,52.23,226.9
1981,HI00200,Honolulu,HI,773331,1965,40,265,340,1320,12,254.1,5.17,34.27,43.97,170.69
1982,HI00200,Honolulu,HI,785181,2151,25,269,400,1457,12,273.95,3.18,34.26,50.94,185.56
1983,HI00200,Honolulu,HI,808092,2136,45,249,599,1243,12,264.33,5.57,30.81,74.13,153.82
1984,HI00200,Honolulu,HI,810772,1950,25,255,553,1117,12,240.51,3.08,31.45,68.21,137.77
1985,HI00200,Honolulu,HI,817083,1801,36,248,552,965,12,220.42,4.41,30.35,67.56,118.1
1986,HI00200,Honolulu,HI,823306,2076,46,241,737,1052,12,252.15,5.59,29.27,89.52,127.78
1987,HI00200,Honolulu,HI,832614,2258,36,322,915,985,12,271.19,4.32,38.67,109.89,118.3
1988,HI00200,Honolulu,HI,838656,2186,28,283,1042,833,12,260.66,3.34,33.74,124.25,99.33
1989,HI00200,Honolulu,HI,848959,2165,43,269,1044,809,0,255.02,5.07,31.69,122.97,95.29
1990,HI00200,Honolulu,HI,836231,2412,34,278,1211,889,12,288.44,4.07,33.24,144.82,106.31
1991,HI00200,Honolulu,HI,856432,2058,29,275,894,860,12,240.3,3.39,32.11,104.39,100.42
1992,HI00200,Honolulu,HI,875297,2382,31,326,1012,1013,12,272.14,3.54,37.24,115.62,115.73
1993,HI00200,Honolulu,HI,875455,2501,31,286,1099,1085,12,285.68,3.54,32.67,125.53,123.94
1994,HI00200,Honolulu,HI,880687,2528,35,266,1169,1058,12,287.05,3.97,30.2,132.74,120.13
1995,HI00200,Honolulu,HI,880266,2882,38,217,1256,1371,12,327.4,4.32,24.65,142.68,155.75
1996,HI00200,Honolulu,HI,878044,2748,27,222,1078,1421,12,312.97,3.08,25.28,122.77,161.84
1997,HI00200,Honolulu,HI,880272,2636,34,257,1131,1214,12,299.45,3.86,29.2,128.48,137.91
1998,HI00200,Honolulu,HI,874736,2342,17,242,1031,1052,12,267.74,1.94,27.67,117.86,120.26
1999,HI00200,Honolulu,HI,866566,2198,37,235,1019,907,12,253.64,4.27,27.12,117.59,104.67
2000,HI00200,Honolulu,HI,876303,2302,20,240,1058,984,12,262.69,2.28,27.39,120.73,112.29
2001,HI00200,Honolulu,HI,885605,2453,20,293,1141,999,12,276.99,2.26,33.08,128.84,112.8
2002,HI00200,Honolulu,HI,900433,2601,18,304,1207,1072,12,288.86,2,33.76,134.05,119.05
2003,HI00200,Honolulu,HI,905301,2606,15,266,1336,989,12,287.86,1.66,29.38,147.58,109.25
2004,HI00200,Honolulu,HI,906589,2507,26,222,1441,818,12,276.53,2.87,24.49,158.95,90.23
2005,HI00200,Honolulu,HI,908521,2570,15,234,1480,841,12,282.88,1.65,25.76,162.9,92.57
2006,HI00200,Honolulu,HI,912693,2745,17,229,1543,956,12,300.76,1.86,25.09,169.06,104.74
2007,HI00200,Honolulu,HI,905903,2613,19,226,1425,943,12,288.44,2.1,24.95,157.3,104.1
2008,HI00200,Honolulu,HI,906349,2575,18,203,1426,928,12,284.11,1.99,22.4,157.33,102.39
2009,HI00200,Honolulu,HI,907124,2537,14,243,1411,869,12,279.68,1.54,26.79,155.55,95.8
2010,HI00200,Honolulu,HI,953297,2548,19,218,1420,891,12,267.28,1.99,22.87,148.96,93.47
2011,HI00200,Honolulu,HI,963465,2370,14,203,1332,821,12,245.99,1.45,21.07,138.25,85.21
2012,HI00200,Honolulu,HI,975875,2336,11,165,1246,914,12,239.37,1.13,16.91,127.68,93.66
2013,HI00200,Honolulu,HI,984683,2276,18,221,1294,743,6,231.14,1.83,22.44,131.41,75.46
2014,HI00200,Honolulu,HI,994034,2273,19,320,1166,768,4,228.66,1.91,32.19,117.3,77.26
2015,HI00200,Honolulu,HI,999307,2437,15,318,1208,896,,243.87,1.5,31.82,120.88,89.66
1975,INIPD00,Indianapolis,IN,503411,4655,95,351,1117,3092,12,924.69,18.87,69.72,221.89,614.21
1976,INIPD00,Indianapolis,IN,494730,4144,68,347,1363,2366,12,837.63,13.74,70.14,275.5,478.24
1977,INIPD00,Indianapolis,IN,509000,3785,80,346,1220,2139,12,743.61,15.72,67.98,239.69,420.24
1978,INIPD00,Indianapolis,IN,513271,3733,76,341,1353,1963,12,727.3,14.81,66.44,263.6,382.45
1979,INIPD00,Indianapolis,IN,513877,4178,92,439,1594,2053,12,813.04,17.9,85.43,310.19,399.51
1980,INIPD00,Indianapolis,IN,698753,4453,107,410,1743,2193,12,637.28,15.31,58.68,249.44,313.84
1981,INIPD00,Indianapolis,IN,461820,4539,65,400,1880,2194,12,982.85,14.07,86.61,407.09,475.08
1982,INIPD00,Indianapolis,IN,462657,4341,69,387,1892,1993,12,938.28,14.91,83.65,408.94,430.77
1983,INIPD00,Indianapolis,IN,463455,4139,56,376,1886,1821,12,893.07,12.08,81.13,406.94,392.92
1984,INIPD00,Indianapolis,IN,471622,4366,49,324,2151,1842,12,925.74,10.39,68.7,456.09,390.57
1985,INIPD00,Indianapolis,IN,471656,4622,59,346,2422,1795,12,979.95,12.51,73.36,513.51,380.57
1986,INIPD00,Indianapolis,IN,470591,4307,63,438,2235,1571,12,915.23,13.39,93.07,474.93,333.84
1987,INIPD00,Indianapolis,IN,478693,4543,57,432,2720,1334,12,949.04,11.91,90.25,568.21,278.68
1988,INIPD00,Indianapolis,IN,483187,5635,79,422,3670,1464,12,1166.22,16.35,87.34,759.54,302.99
1989,INIPD00,Indianapolis,IN,484056,5859,41,483,3529,1806,12,1210.4,8.47,99.78,729.05,373.1
1990,INIPD00,Indianapolis,IN,483549,6224,58,541,3983,1642,12,1287.15,11.99,111.88,823.7,339.57
1991,INIPD00,Indianapolis,IN,489392,7072,95,561,4415,2001,12,1445.06,19.41,114.63,902.14,408.87
1992,INIPD00,Indianapolis,IN,493928,6814,88,541,4028,2157,12,1379.55,17.82,109.53,815.5,436.7
1993,INIPD00,Indianapolis,IN,377723,6292,68,517,3657,2050,12,1665.77,18,136.87,968.17,542.73
1994,INIPD00,Indianapolis,IN,380302,6467,108,483,3422,2454,12,1700.49,28.4,127,899.81,645.28
